"lambda","H_o","a_oz","a_w","a_o"
648,1.5456,0.066,0.112,0
649,1.51872,0.065,0.147,0
650,1.50144,0.064,0.173,0
651,1.5216,0.063,0.181,0
652,1.536,0.062,0.179,0
653,1.53504,0.061,0.171,0
654,1.53408,0.06,0.16,0
655,1.40352,0.059,0.142,0
656,1.31616,0.058,0.117,0
657,1.32192,0.057,0.087,0
658,1.3584,0.056,0.057,0
659,1.4016,0.056,0.029,0
660,1.4448,0.055,0.008,0
661,1.48608,0.054,0,0
662,1.51776,0.053,0,0
663,1.52064,0.052,0,0
664,1.51296,0.051,0,0
665,1.50336,0.051,0.001,0
666,1.49472,0.05,0.002,0
667,1.488,0.049,0.002,0
668,1.48128,0.048,0.001,0
669,1.47552,0.047,0.001,0
390,1.10592,0,0.1,0.1
391,1.21248,0,0.1,0.1
392,1.0704,0,0.1,0.1
393,0.70368,0,0.1,0.1
394,0.81792,0,0.1,0.1
395,1.2,0,0.1,0.1
396,1.02816,0,0.1,0.1
397,0.81888,0,0.1,0.1
398,1.2,0,0.1,0.1
399,1.512,0,0.1,0.1
400,1.60704,0,0.1,0.1
401,1.65216,0,0.1,0.1
402,1.72704,0,0.1,0.1
403,1.65024,0,0.1,0.1
404,1.57248,0,0.1,0.1
405,1.58496,0,0.1,0.1
406,1.59648,0,0.1,0.1
407,1.61376,0,0.1,0.1
408,1.63008,0,0.1,0.1
409,1.584,0,0.1,0.1
410,1.55616,0,0.1,0.1
411,1.6704,0,0.1,0.1
412,1.73952,0,0.1,0.1
413,1.6848,0,0.1,0.1
414,1.6704,0,0.1,0.1
415,1.70976,0,0.1,0.1
416,1.71936,0,0.1,0.1
417,1.6464,0,0.1,0.1
418,1.63296,0,0.1,0.1
419,1.59648,0,0.1,0.1
460,1.94784,0.008,0.1,0.1
461,1.95744,0.009,0.1,0.1
462,2.01696,0.009,0.1,0.1
463,2.00256,0.009,0.1,0.1
464,1.91232,0.009,0.1,0.1
465,1.90752,0.008,0.1,0.1
466,1.88064,0.008,0.1,0.1
467,1.88736,0.007,0.1,0.1
468,1.9296,0.007,0.1,0.1
469,1.92096,0.007,0.1,0.1
470,1.86816,0.007,0.1,0.1
471,1.87872,0.008,0.1,0.1
472,1.94112,0.009,0.1,0.1
473,1.944,0.01,0.1,0.1
474,1.95648,0.011,0.1,0.1
475,1.94784,0.012,0.1,0.1
476,1.90272,0.013,0.1,0.1
477,1.91616,0.014,0.1,0.1
478,1.98048,0.015,0.1,0.1
479,1.98144,0.017,0.1,0.1
480,1.98432,0.018,0.1,0.1
481,1.9824,0.019,0.1,0.1
482,1.97184,0.02,0.1,0.1
483,1.96512,0.02,0.1,0.1
484,1.93056,0.021,0.1,0.1
485,1.872,0.02,0.1,0.1
486,1.61952,0.02,0.1,0.1
487,1.65408,0.019,0.1,0.1
488,1.79904,0.019,0.1,0.1
489,1.87104,0.018,0.1,0.1
530,1.88064,0.063,0.1,0.1
531,1.87392,0.064,0.1,0.1
532,1.87008,0.066,0.1,0.1
533,1.79712,0.068,0.1,0.1
534,1.78464,0.069,0.1,0.1
535,1.87296,0.07,0.1,0.1
536,1.86336,0.071,0.1,0.1
537,1.78656,0.072,0.1,0.1
538,1.78368,0.072,0.1,0.1
539,1.77696,0.072,0.1,0.1
540,1.7664,0.072,0.1,0.1
541,1.74624,0.073,0.1,0.1
542,1.77312,0.074,0.1,0.1
543,1.8,0.075,0.1,0.1
544,1.81728,0.076,0.1,0.1
545,1.83456,0.077,0.1,0.1
546,1.81344,0.079,0.1,0.1
547,1.79232,0.08,0.1,0.1
548,1.8,0.081,0.1,0.1
549,1.80768,0.083,0.1,0.1
550,1.80288,0.084,0.1,0.1
551,1.79904,0.085,0.1,0.1
552,1.7952,0.086,0.1,0.1
553,1.79424,0.087,0.1,0.1
554,1.81344,0.088,0.1,0.1
555,1.82016,0.089,0.1,0.1
556,1.7664,0.09,0.1,0.1
557,1.75296,0.091,0.1,0.1
558,1.74432,0.092,0.1,0.1
559,1.7424,0.094,0.1,0.1
600,1.68192,0.124,0.023,0
601,1.67712,0.125,0.022,0
602,1.65984,0.125,0.017,0
603,1.66752,0.125,0.011,0
604,1.70112,0.125,0.001,0
605,1.69728,0.124,0,0
606,1.68096,0.123,0,0
607,1.67904,0.122,0,0
608,1.67232,0.12,0,0
609,1.66464,0.119,0,0
610,1.65696,0.118,0,0
611,1.6656,0.116,0,0
612,1.67424,0.115,0,0
613,1.65696,0.114,0,0
614,1.64064,0.112,0,0
615,1.62528,0.111,0,0
616,1.60992,0.11,0,0
617,1.6368,0.108,0,0
618,1.66368,0.107,0,0
619,1.66272,0.105,0,0
620,1.66176,0.104,0,0
621,1.64832,0.103,0,0
622,1.63584,0.101,0,0
623,1.61664,0.1,0,0
624,1.59936,0.099,0,0
625,1.60224,0.097,0,0
626,1.60416,0.096,0.001,0.002
627,1.62144,0.094,0.002,0.005
628,1.63296,0.093,0.003,0.008
629,1.60704,0.092,0.004,0.01
670,1.46976,0.046,0,0
671,1.464,0.045,0,0
672,1.45824,0.045,0,0
673,1.45152,0.044,0,0
674,1.44576,0.043,0,0
675,1.44,0.042,0,0
676,1.43424,0.041,0,0
677,1.42848,0.04,0,0
678,1.42176,0.04,0,0
679,1.41696,0.039,0,0
680,1.41312,0.038,0,0
681,1.41024,0.037,0.001,0
682,1.40736,0.036,0.001,0
683,1.40448,0.035,0.001,0
684,1.4016,0.034,0.001,0
685,1.39872,0.034,0.002,0
686,1.39584,0.033,0.002,0.067
687,1.392,0.032,0.002,0.81
688,1.38912,0.031,0.001,0.65
689,1.38624,0.03,0.001,0.505
690,1.38336,0.03,0.001,0.36
691,1.38048,0.029,0.084,0.325
692,1.3776,0.028,0.196,0.248
693,1.37472,0.027,0.317,0.157
694,1.37184,0.026,0.434,0.068
695,1.36896,0.025,0.53,0.001
696,1.36608,0.024,0.588,0
697,1.3632,0.024,0.621,0
698,1.36032,0.023,0.637,0
699,1.35744,0.022,0.636,0
700,1.35456,0.022,0.602,0
